日付,始値,高値,安値,終値,出来高,証券コード
4.6283684922,3.4166405073,3.4199557485,3.411619706,3.4183012913,6.5171958979,1301
4.6283787112,3.4216039269,3.4232458739,3.4183012913,3.4199557485,6.1702617154,1301
4.6283889301,3.4183012913,3.4199557485,3.4166405073,3.4199557485,5.9084850189,1301
4.6283991486,3.4216039269,3.4216039269,3.4166405073,3.4199557485,6.0374264979,1301
4.6284298029,3.4216039269,3.4232458739,3.4183012913,3.4199557485,6.0374264979,1301
4.6284400205,3.4216039269,3.4232458739,3.4166405073,3.4216039269,5.9684829486,1301
4.6284502379,3.4232458739,3.4232458739,3.4183012913,3.4199557485,5.7558748557,1301
4.628460455,3.4199557485,3.4248816366,3.4199557485,3.4248816366,6.1072099696,1301
4.6284706719,3.4248816366,3.4265112614,3.4232458739,3.4248816366,6.1367205672,1301
4.6285013211,3.4248816366,3.4265112614,3.4232458739,3.4265112614,5.8864907252,1301
4.6285115371,3.4248816366,3.4265112614,3.4232458739,3.4248816366,5.7993405495,1301
4.6285217528,3.4265112614,3.428134794,3.4248816366,3.4265112614,6.0827853703,1301
4.6285319682,3.428134794,3.428134794,3.4248816366,3.4248816366,6.0863598307,1301
4.6285421834,3.4265112614,3.428134794,3.4265112614,3.4265112614,5.785329835,1301
4.6285728276,3.4265112614,3.4265112614,3.4248816366,3.4248816366,5.8750612634,1301
4.6285830418,3.4248816366,3.428134794,3.4232458739,3.428134794,6.0899051114,1301
4.6285932559,3.4248816366,3.428134794,3.4248816366,3.4248816366,5.785329835,1301
4.6286034696,3.4248816366,3.42975228,3.4232458739,3.4248816366,6.0863598307,1301
4.6286136831,3.4248816366,3.4313637642,3.4248816366,3.4313637642,6.3443922737,1301
4.6286443223,3.428134794,3.4313637642,3.4265112614,3.42975228,6.1731862684,1301
4.6286545349,3.428134794,3.42975228,3.428134794,3.42975228,5.806179974,1301
4.6286647472,3.42975228,3.4329692909,3.428134794,3.42975228,6.1643528558,1301
4.6286749593,3.4313637642,3.4313637642,3.428134794,3.428134794,5.8633228601,1301
4.6286851711,3.4313637642,3.4313637642,3.4265112614,3.428134794,6.214843848,1301
4.6287158052,3.428134794,3.428134794,3.4183012913,3.4183012913,6.0569048513,1301
4.6287260161,3.4183012913,3.4199557485,3.414973348,3.4183012913,6.0293837777,1301
4.6287362267,3.4183012913,3.4199557485,3.414973348,3.4166405073,5.8633228601,1301
4.6287464371,3.4183012913,3.4183012913,3.4132997641,3.4132997641,6.0569048513,1301
4.6287566473,3.4166405073,3.4166405073,3.4132997641,3.414973348,5.8750612634,1301
4.6287872764,3.4199557485,3.4199557485,3.414973348,3.4166405073,5.9684829486,1301
4.6287974856,3.414973348,3.4166405073,3.4132997641,3.414973348,5.8573324964,1301
4.6288076945,3.4166405073,3.4199557485,3.414973348,3.4199557485,5.8129133566,1301
4.6288179033,3.4183012913,3.4199557485,3.414973348,3.4199557485,6.1875207208,1301
4.6288281117,3.4183012913,3.4199557485,3.4014005408,3.4031205212,6.4099331233,1301
4.6288587358,3.4065401804,3.4166405073,3.4065401804,3.414973348,6.1172712957,1301
4.6288689433,3.4099331233,3.4199557485,3.4099331233,3.4183012913,6.2013971243,1301
4.6288791506,3.4216039269,3.4216039269,3.414973348,3.4166405073,5.8195439355,1301
4.6288893576,3.4199557485,3.4199557485,3.414973348,3.414973348,5.9777236053,1301
4.6288995644,3.4265112614,3.4265112614,3.4166405073,3.4183012913,6.2944662262,1301
4.6289301834,3.4199557485,3.4216039269,3.4183012913,3.4216039269,5.84509804,1301
4.6289403892,3.4216039269,3.4216039269,3.4183012913,3.4199557485,5.7323937598,1301
4.6289505949,3.4183012913,3.4199557485,3.414973348,3.4199557485,5.9395192526,1301
4.6289608002,3.4166405073,3.4199557485,3.414973348,3.4199557485,5.9493900066,1301
4.6289710053,3.414973348,3.4199557485,3.4099331233,3.4099331233,6.2810333672,1301
4.6290016193,3.414973348,3.4216039269,3.414973348,3.4216039269,6.0453229788,1301
4.6290118235,3.4216039269,3.4232458739,3.4183012913,3.4183012913,6.1205739312,1301
4.6290220274,3.4232458739,3.4232458739,3.4183012913,3.4183012913,5.9084850189,1301
4.6290322311,3.4183012913,3.4216039269,3.4166405073,3.4166405073,5.8864907252,1301
4.6290424345,3.4232458739,3.4232458739,3.4199557485,3.4199557485,6.0128372247,1301
4.6290832459,3.4216039269,3.4216039269,3.4199557485,3.4216039269,5.7558748557,1301
4.6290934482,3.4232458739,3.4232458739,3.4199557485,3.4232458739,5.9684829486,1301
4.6291036502,3.4248816366,3.4248816366,3.4199557485,3.4232458739,5.9190780924,1301
4.6291138519,3.4216039269,3.4232458739,3.4216039269,3.4216039269,5.785329835,1301
4.6291444558,3.4216039269,3.4248816366,3.4216039269,3.4248816366,5.785329835,1301
4.6291546566,3.4248816366,3.4248816366,3.4216039269,3.4232458739,5.9867717343,1301
4.6291648572,3.4232458739,3.4232458739,3.4199557485,3.4199557485,5.7075701761,1301
4.6291750575,3.4199557485,3.4216039269,3.4183012913,3.4199557485,5.8633228601,1301
4.6291852576,3.4199557485,3.4232458739,3.4183012913,3.4232458739,5.8260748027,1301
4.6292158565,3.4199557485,3.4216039269,3.4183012913,3.4216039269,5.591064607,1301
4.6292260556,3.4216039269,3.4232458739,3.4183012913,3.4199557485,5.6720978579,1301
4.6292362545,3.4183012913,3.4183012913,3.414973348,3.414973348,5.7634279936,1301
4.6292464532,3.4166405073,3.4183012913,3.414973348,3.4166405073,5.6812412374,1301
4.6292566516,3.4166405073,3.4183012913,3.4132997641,3.414973348,5.9493900066,1301
4.6292872454,3.4166405073,3.4248816366,3.4166405073,3.4248816366,6.2121876044,1301
