分割日,証券コード,倍率
2018/03/28,2282,10
2017/12/27,1764,10
2017/12/01,3892,10
2017/11/28,5967,10
2017/11/28,6496,10
2017/11/28,9924,10
2017/11/27,2722,2
2017/10/27,5971,10
2017/10/27,7901,10
2017/10/26,6630,10
2017/10/01,1380,10
2017/10/01,1730,10
2017/10/01,1738,10
2017/10/01,3407,10
2017/10/01,4099,10
2017/10/01,4205,10
2017/10/01,4272,10
2017/10/01,4366,10
2017/10/01,6281,10
2017/10/01,6366,10
2017/10/01,6433,10
2017/10/01,6454,10
2017/10/01,6472,10
2017/10/01,6591,10
2017/10/01,6768,10
2017/10/01,6937,10
2017/10/01,7244,10
2017/10/01,7287,10
2017/10/01,7567,10
2017/10/01,7980,10
2017/10/01,9034,10
2017/09/27,1352,10
2017/09/27,1734,10
2017/09/27,1782,10
2017/09/27,1793,10
2017/09/27,1798,10
2017/09/27,1801,10
2017/09/27,1807,10
2017/09/27,1811,10
2017/09/27,1815,10
2017/09/27,1820,10
2017/09/27,1833,10
2017/09/27,1847,10
2017/09/27,1861,10
2017/09/27,1867,10
2017/09/27,1882,10
2017/09/27,1884,10
2017/09/27,1888,10
2017/09/27,1892,10
2017/09/27,1916,10
2017/09/27,1933,10
2017/09/27,1939,10
2017/09/27,1946,10
2017/09/27,1948,10
2017/09/27,1964,10
2017/09/27,1968,10
2017/09/27,1971,10
2017/09/27,1980,10
2017/09/27,1992,10
2017/09/27,2004,10
2017/09/27,2008,10
2017/09/27,2107,10
2017/09/27,2218,10
2017/09/27,2264,10
2017/09/27,2291,10
2017/09/27,2293,10
2017/09/27,2602,10
2017/09/27,2608,10
2017/09/27,2654,10
2017/09/27,2813,10
2017/09/27,2892,10
2017/09/27,2905,10
2017/09/27,2919,10
2017/09/27,3002,10
2017/09/27,3004,10
2017/09/27,3101,10
2017/09/27,3103,10
2017/09/27,3107,10
2017/09/27,3109,10
2017/09/27,3110,10
2017/09/27,3409,10
2017/09/27,3431,10
2017/09/27,3515,10
2017/09/27,3521,10
2017/09/27,3526,10
2017/09/27,3529,10
2017/09/27,3551,10
2017/09/27,3577,10
2017/09/27,3583,10
2017/09/27,3591,10
2017/09/27,3600,10
2017/09/27,3877,10
2017/09/27,3943,10
2017/09/27,3944,10
2017/09/27,3945,10
2017/09/27,3946,10
2017/09/27,4022,10
2017/09/27,4027,10
2017/09/27,4031,10
2017/09/27,4042,10
2017/09/27,4043,10
2017/09/27,4044,10
2017/09/27,4046,10
2017/09/27,4061,10
2017/09/27,4064,10
2017/09/27,4078,10
2017/09/27,4092,10
2017/09/27,4098,10
2017/09/27,4100,10
2017/09/27,4113,10
2017/09/27,4116,10
2017/09/27,4119,10
2017/09/27,4183,10
2017/09/27,4208,10
2017/09/27,4216,10
2017/09/27,4218,10
2017/09/27,4242,10
2017/09/27,4367,10
2017/09/27,4403,10
2017/09/27,4524,10
2017/09/27,4557,10
2017/09/27,4611,10
2017/09/27,4624,10
2017/09/27,4635,10
2017/09/27,4685,10
2017/09/27,4998,10
2017/09/27,5104,10
2017/09/27,5199,10
2017/09/27,5217,10
2017/09/27,5233,10
2017/09/27,5261,10
2017/09/27,5279,10
2017/09/27,5285,10
2017/09/27,5304,10
2017/09/27,5351,10
2017/09/27,5352,10
2017/09/27,5391,10
2017/09/27,5445,10
2017/09/27,5458,10
2017/09/27,5471,10
2017/09/27,5476,10
2017/09/27,5481,10
2017/09/27,5541,10
2017/09/27,5603,10
2017/09/27,5609,10
2017/09/27,5632,10
2017/09/27,5659,10
2017/09/27,5660,10
2017/09/27,5695,10
2017/09/27,5706,10
2017/09/27,5707,10
2017/09/27,5713,10
2017/09/27,5714,10
2017/09/27,5715,10
2017/09/27,5729,10
2017/09/27,5741,10
2017/09/27,5781,10
2017/09/27,5805,10
2017/09/27,5815,10
2017/09/27,5820,10
2017/09/27,5851,10
2017/09/27,5905,10
2017/09/27,5907,10
2017/09/27,5918,10
2017/09/27,5922,10
2017/09/27,5923,10
2017/09/27,5935,10
2017/09/27,5939,10
2017/09/27,5953,10
2017/09/27,5958,10
2017/09/27,5962,10
2017/09/27,5966,10
2017/09/27,5969,10
2017/09/27,5979,10
2017/09/27,5992,10
2017/09/27,6016,10
2017/09/27,6018,10
2017/09/27,6022,10
2017/09/27,6042,10
2017/09/27,6103,10
2017/09/27,6111,10
2017/09/27,6121,10
2017/09/27,6125,10
2017/09/27,6137,10
2017/09/27,6138,10
2017/09/27,6205,10
2017/09/27,6299,10
2017/09/27,6302,10
2017/09/27,6303,10
2017/09/27,6330,10
2017/09/27,6331,10
2017/09/27,6335,10
2017/09/27,6342,10
2017/09/27,6358,10
2017/09/27,6360,10
2017/09/27,6368,10
2017/09/27,6369,10
2017/09/27,6373,10
2017/09/27,6391,10
2017/09/27,6392,10
2017/09/27,6393,10
2017/09/27,6396,10
2017/09/27,6403,10
2017/09/27,6414,10
2017/09/27,6424,10
2017/09/27,6439,10
2017/09/27,6444,10
2017/09/27,6478,10
2017/09/27,6484,10
2017/09/27,6513,10
2017/09/27,6516,10
2017/09/27,6518,10
2017/09/27,6643,10
2017/09/27,6647,10
2017/09/27,6675,10
2017/09/27,6701,10
2017/09/27,6704,10
2017/09/27,6706,10
2017/09/27,6715,10
2017/09/27,6716,10
2017/09/27,6753,10
2017/09/27,6763,10
2017/09/27,6844,10
2017/09/27,6852,10
2017/09/27,6862,10
2017/09/27,6894,10
2017/09/27,6895,10
2017/09/27,6899,10
2017/09/27,6901,10
2017/09/27,6924,10
2017/09/27,6942,10
2017/09/27,6943,10
2017/09/27,6946,10
2017/09/27,6969,10
2017/09/27,6973,10
2017/09/27,6982,10
2017/09/27,6989,10
2017/09/27,6997,10
2017/09/27,6998,10
2017/09/27,7003,10
2017/09/27,7011,10
2017/09/27,7012,10
2017/09/27,7013,10
2017/09/27,7018,10
2017/09/27,7021,10
2017/09/27,7236,10
2017/09/27,7242,10
2017/09/27,7249,10
2017/09/27,7273,10
2017/09/27,7299,10
2017/09/27,7305,10
2017/09/27,7413,10
2017/09/27,7426,10
2017/09/27,7464,10
2017/09/27,7477,10
2017/09/27,7509,10
2017/09/27,7578,10
2017/09/27,7702,10
2017/09/27,7721,10
2017/09/27,7726,10
2017/09/27,7768,10
2017/09/27,7769,10
2017/09/27,7887,10
2017/09/27,7891,10
2017/09/27,7896,10
2017/09/27,7898,10
2017/09/27,7912,10
2017/09/27,7913,10
2017/09/27,7914,10
2017/09/27,7916,10
2017/09/27,7932,10
2017/09/27,7938,10
2017/09/27,7946,10
2017/09/27,7961,10
2017/09/27,7987,10
2017/09/27,7999,10
2017/09/27,8006,10
2017/09/27,8007,10
2017/09/27,8020,10
2017/09/27,8022,10
2017/09/27,8025,10
2017/09/27,8030,10
2017/09/27,8032,10
2017/09/27,8041,10
2017/09/27,8044,10
2017/09/27,8046,10
2017/09/27,8050,10
2017/09/27,8052,10
2017/09/27,8059,10
2017/09/27,8061,10
2017/09/27,8072,10
2017/09/27,8078,10
2017/09/27,8084,10
2017/09/27,8088,10
2017/09/27,8089,10
2017/09/27,8091,10
2017/09/27,8101,10
2017/09/27,8107,10
2017/09/27,8138,10
2017/09/27,8145,10
2017/09/27,8148,10
2017/09/27,8152,10
2017/09/27,8173,10
2017/09/27,8191,10
2017/09/27,8205,10
2017/09/27,8225,10
2017/09/27,8303,10
2017/09/27,8304,10
2017/09/27,8324,10
2017/09/27,8341,10
2017/09/27,8342,10
2017/09/27,8343,10
2017/09/27,8344,10
2017/09/27,8349,10
2017/09/27,8350,10
2017/09/27,8356,10
2017/09/27,8361,10
2017/09/27,8362,10
2017/09/27,8363,10
2017/09/27,8369,10
2017/09/27,8379,10
2017/09/27,8387,10
2017/09/27,8392,10
2017/09/27,8393,10
2017/09/27,8395,10
2017/09/27,8398,10
2017/09/27,8416,10
2017/09/27,8537,10
2017/09/27,8540,10
2017/09/27,8554,10
2017/09/27,8558,10
2017/09/27,8560,10
2017/09/27,8562,10
2017/09/27,8563,10
2017/09/27,8584,10
2017/09/27,8617,10
2017/09/27,8835,10
2017/09/27,8840,10
2017/09/27,8851,10
2017/09/27,9001,10
2017/09/27,9003,10
2017/09/27,9006,10
2017/09/27,9008,10
2017/09/27,9010,10
2017/09/27,9012,10
2017/09/27,9014,10
2017/09/27,9017,10
2017/09/27,9027,10
2017/09/27,9031,10
2017/09/27,9041,10
2017/09/27,9044,10
2017/09/27,9045,10
2017/09/27,9046,10
2017/09/27,9048,10
2017/09/27,9049,10
2017/09/27,9052,10
2017/09/27,9060,10
2017/09/27,9062,10
2017/09/27,9065,10
2017/09/27,9066,10
2017/09/27,9070,10
2017/09/27,9075,10
2017/09/27,9077,10
2017/09/27,9081,10
2017/09/27,9082,10
2017/09/27,9083,10
2017/09/27,9085,10
2017/09/27,9087,10
2017/09/27,9101,10
2017/09/27,9104,10
2017/09/27,9107,10
2017/09/27,9110,10
2017/09/27,9130,10
2017/09/27,9179,10
2017/09/27,9202,10
2017/09/27,9301,10
2017/09/27,9304,10
2017/09/27,9311,10
2017/09/27,9312,10
2017/09/27,9351,10
2017/09/27,9355,10
2017/09/27,9360,10
2017/09/27,9362,10
2017/09/27,9363,10
2017/09/27,9364,10
2017/09/27,9365,10
2017/09/27,9531,10
2017/09/27,9532,10
2017/09/27,9533,10
2017/09/27,9536,10
2017/09/27,9605,10
2017/09/27,9633,10
2017/09/27,9635,10
2017/09/27,9639,10
2017/09/27,9671,10
2017/09/27,9674,10
2017/09/27,9713,10
2017/09/27,9726,10
2017/09/27,9761,10
2017/09/27,9780,10
2017/09/27,9816,10
2017/09/27,9820,10
2017/09/27,9826,10
2017/09/27,9852,10
2017/09/27,9967,10
2017/09/26,3475,2
2017/09/26,3835,2
2017/09/26,6549,2
2017/09/26,8920,2
2017/09/21,3125,10
2017/09/15,5204,10
2017/09/15,9040,10
2017/09/15,9909,10
2017/09/01,4615,10
2017/09/01,4960,10
2017/09/01,9661,10
2017/08/29,2872,10
2017/08/29,3065,10
2017/08/29,4920,10
2017/08/29,5271,10
2017/08/29,7894,10
2017/08/29,8181,10
2017/08/29,8244,10
2017/08/29,8247,10
2017/08/29,8254,10
2017/08/29,9033,10
2017/08/29,9601,10
2017/08/29,9778,10
2017/08/29,9903,10
2017/08/29,9982,10
2017/08/28,2462,2
2017/08/28,3138,2
2017/08/28,3454,2
2017/08/28,3479,7
2017/08/28,3541,2
2017/08/28,3550,3
2017/08/28,3935,2
2017/08/28,6908,2
2017/08/28,7172,2
2017/08/01,6644,10
2017/08/01,6867,10
2017/08/01,8346,10
2017/07/27,2217,10
2017/07/27,6898,10
2017/07/27,7878,10
2017/07/27,8013,10
2017/07/27,8842,10
2017/07/27,9005,10
2017/07/27,9632,10
2017/07/27,9637,10
2017/07/26,3816,1.1
2017/07/26,3939,3
2017/07/26,3983,2
2017/07/26,4345,2
2017/07/20,3464,2
2017/07/07,3250,1
2017/07/01,1803,10
2017/07/01,2533,10
2017/07/01,3948,10
2017/07/01,4629,10
2017/07/01,7224,10
2017/07/01,7399,10
2017/06/28,1718,10
2017/06/28,1899,10
2017/06/28,1987,10
2017/06/28,2211,10
2017/06/28,2215,10
2017/06/28,2216,10
2017/06/28,3947,10
2017/06/28,4025,10
2017/06/28,4404,10
2017/06/28,4772,10
2017/06/28,5201,10
2017/06/28,5214,10
2017/06/28,5302,10
2017/06/28,6310,10
2017/06/28,6977,10
2017/06/28,7425,10
2017/06/28,7957,10
2017/06/28,7992,10
2017/06/28,8011,10
2017/06/28,8854,10
2017/06/28,9173,10
2017/06/28,9672,10
2017/06/28,9722,10
2017/06/27,2752,2
2017/06/27,3085,2
2017/06/27,3160,2
2017/06/27,3185,2
2017/06/27,3261,3
2017/06/27,3445,2
2017/06/27,3758,2
2017/06/27,3912,2
2017/06/27,3921,2
2017/06/27,3934,3
2017/06/27,3940,3
2017/06/27,3966,2
2017/06/27,3970,2
2017/06/27,4245,2
2017/06/27,4587,2
2017/06/27,4595,2
2017/06/27,6036,2
2017/06/27,6081,3
2017/06/27,6098,3
2017/06/27,7187,2
2017/06/27,7976,2
2017/06/27,9416,2
2017/06/27,9613,5
2017/06/05,3901,4
2017/06/01,4992,10
2017/06/01,7888,10
2017/05/29,4616,10
2017/05/29,4995,10
2017/05/29,6492,10
2017/05/29,7997,10
2017/05/29,9647,10
2017/05/26,3030,3
2017/05/26,3140,2
2017/05/26,3297,2
2017/05/26,3547,2
2017/05/26,3677,2
2017/05/26,3967,2
2017/05/26,4726,2
2017/05/26,6062,2
2017/05/26,6615,2
2017/05/26,8908,2
2017/05/26,9511,1.1
2017/05/24,2180,2
2017/05/17,8737,1
2017/05/01,7831,10
2017/04/25,2923,1.05
2017/04/25,3475,2
2017/04/25,3902,2
2017/04/25,3917,2
2017/04/25,6192,3
2017/04/19,2458,2
2017/04/18,4082,5
2017/04/11,3267,2
2017/04/05,2772,2
2017/04/01,1737,10
2017/04/01,1832,10
2017/04/01,1945,10
2017/04/01,2801,10
2017/04/01,3402,10
2017/04/01,3952,10
2017/04/01,4047,10
2017/04/01,4912,10
2017/04/01,6755,10
2017/04/01,6964,10
2017/04/01,7959,10
2017/04/01,8594,10
2017/04/01,8801,10
2017/04/01,8802,10
2017/04/01,9307,10
2017/03/29,1743,10
2017/03/29,6277,10
2017/03/29,6316,10
2017/03/29,7505,10
2017/03/29,9470,10
2017/03/29,9679,10
2017/03/29,9941,10
2017/03/28,1401,10
2017/03/28,1828,2
2017/03/28,2352,2
2017/03/28,2469,2
2017/03/28,2782,2
2017/03/28,2930,2
2017/03/28,3040,2
2017/03/28,3066,2
2017/03/28,3186,2
2017/03/28,3538,2
2017/03/28,3542,2
2017/03/28,3641,2
2017/03/28,3694,2
2017/03/28,3793,2
2017/03/28,3802,2
2017/03/28,3830,2
2017/03/28,3937,2
2017/03/28,3963,3
2017/03/28,3965,2
2017/03/28,3968,2
2017/03/28,4659,2
2017/03/28,4762,2
2017/03/28,4918,2
2017/03/28,4923,1.1
2017/03/28,4927,4
2017/03/28,4975,2
2017/03/28,5988,3
2017/03/28,6074,2
2017/03/28,6194,3
2017/03/28,6198,2
2017/03/28,6322,1.2
2017/03/28,6531,2
2017/03/28,6537,2
2017/03/28,6541,4
2017/03/28,6586,2
2017/03/28,6920,2
2017/03/28,7874,2
2017/03/28,7906,4
2017/03/28,8769,2
2017/03/28,8876,10
2017/03/28,9035,2
2017/03/28,9616,2
2017/03/28,9989,2
2017/03/10,7782,3
2017/03/01,9517,3
2017/03/01,2055,10
2017/02/23,1712,1.2
2017/02/23,1712,1.2
2017/02/23,2178,4
2017/02/23,2484,4
2017/02/23,3094,3
2017/02/23,3133,2
2017/02/23,3141,2
2017/02/23,3290,2
2017/02/23,3556,5
2017/02/23,3762,2
2017/02/23,4345,2
2017/02/23,6048,2
2017/02/23,6199,4
2017/02/23,6238,3
2017/02/23,6264,2
2017/02/23,7611,1.2
2017/02/23,7818,2
2017/02/01,4990,10
2017/01/26,1433,3
2017/01/26,2163,2
2017/01/26,3246,2
2017/01/26,3465,2
2017/01/20,6538,3
2017/01/18,8057,10
2017/01/04,1853,10
2017/01/01,1848,10
2017/01/01,5301,10
2017/01/01,6994,10
2017/01/01,7701,10
2016/12/28,1954,10
2016/12/28,7308,10
2016/12/28,8928,10
2016/12/28,9361,10
2016/12/27,2130,2
2016/12/27,2424,2
2016/12/27,2492,2
2016/12/27,3183,2
2016/12/27,3474,5
2016/12/27,3928,2
2016/12/27,4307,1.1
2016/12/27,4709,1.5
2016/12/27,6055,2
2016/12/27,6061,2
2016/12/27,6062,2
2016/12/27,6157,2
2016/12/27,6181,3
2016/12/27,6266,3
2016/12/27,7190,3
2016/12/27,7864,2
2016/12/27,9830,2
2016/12/15,6161,2
2016/12/13,3666,2
2016/12/13,3673,2
2016/12/12,8938,2
2016/12/01,5957,10
2016/12/01,6013,10
2016/11/28,6505,10
2016/11/25,3385,3
2016/11/25,3836,2
2016/11/25,3908,2
2016/11/25,6064,2
2016/11/25,6089,2
2016/11/25,6093,2
2016/11/25,6196,3
2016/11/25,7183,3
2016/11/25,7575,2
2016/11/01,7971,10
2016/10/27,3524,10
2016/10/26,2424,2
2016/10/26,3134,2
2016/10/26,3287,2
2016/10/26,3458,2
2016/10/26,3939,2
2016/10/01,1771,10
2016/10/01,3941,10
2016/10/01,4088,10
2016/10/01,4094,10
2016/10/01,4097,10
2016/10/01,4617,10
2016/10/01,5803,10
2016/10/01,6300,10
2016/10/01,6503,10
2016/10/01,6904,10
2016/10/01,7435,10
2016/10/01,7647,10
2016/10/01,8550,10
2016/10/01,9367,10
2016/09/28,1301,10
2016/09/28,1515,10
2016/09/28,1518,10
2016/09/28,1885,10
2016/09/28,1904,10
2016/09/28,1931,10
2016/09/28,1937,10
2016/09/28,1956,10
2016/09/28,1972,10
2016/09/28,1975,10
2016/09/28,2001,10
2016/09/28,2003,10
2016/09/28,2108,10
2016/09/28,2109,10
2016/09/28,2201,10
2016/09/28,2204,10
2016/09/28,2209,10
2016/09/28,2286,10
2016/09/28,2613,10
2016/09/28,2804,10
2016/09/28,2871,10
2016/09/28,3010,10
2016/09/28,3104,10
2016/09/28,3306,10
2016/09/28,3374,10
2016/09/28,3401,10
2016/09/28,3408,10
2016/09/28,3708,10
2016/09/28,3864,10
2016/09/28,3954,10
2016/09/28,4008,10
2016/09/28,4023,10
2016/09/28,4028,10
2016/09/28,4102,10
2016/09/28,4112,10
2016/09/28,4182,10
2016/09/28,4224,10
2016/09/28,4228,10
2016/09/28,4229,10
2016/09/28,4471,10
2016/09/28,4538,10
2016/09/28,4539,10
2016/09/28,4918,10
2016/09/28,5142,10
2016/09/28,5195,10
2016/09/28,5202,10
